ID,Latitude,Longitude
3367362,25.04166667,-6.541666667
3367363,25.04166667,-6.458333333
3367364,25.04166667,-6.375
3367365,25.04166667,-6.291666667
3367366,25.04166667,-6.208333333
3367367,25.04166667,-6.125
3367368,25.04166667,-6.041666667
3367369,25.04166667,-5.958333333
3367370,25.04166667,-5.875
3367371,25.04166667,-5.791666667
3367372,25.04166667,-5.708333333
3367373,25.04166667,-5.625
3367374,25.04166667,-5.541666667
3367375,25.04166667,-5.458333333
3367376,25.04166667,-5.375
3367377,25.04166667,-5.291666667
3367378,25.04166667,-5.208333333
3367379,25.04166667,-5.125
3367380,25.04166667,-5.041666667
